time,normalized_time,az_positive
207.2519989,0.0,0.001
207.2559967,0.003997800000007601,0.001
207.2600098,0.008010900000016363,0.001
207.2640076,0.012008700000023964,0.01257955935
207.2680054,0.016006500000003143,0.00922057312
207.2720032,0.020004300000010744,0.001
207.276001,0.024002100000018345,0.001
207.2799988,0.027999899999997524,0.005480827764
207.2839966,0.031997700000005125,0.001
207.2880096,0.036010700000019824,0.008129177615
207.2920074,0.040008499999999,0.003017344512
207.2960052,0.044006300000006604,0.001
207.3000031,0.04800420000000827,0.004584051669
207.3040009,0.05200200000001587,0.002584008966
207.3079987,0.05599980000002347,0.001
207.3119965,0.05999760000000265,0.006396259647
207.3160095,0.06401060000001735,0.007404125296
207.3200073,0.06800839999999653,0.001
207.3240051,0.07200620000000413,0.001
207.3280029,0.07600400000001173,0.002275331644
207.3320007,0.08000180000001933,0.002860037843
207.3359985,0.08399959999999851,0.002717995318
207.3399963,0.08799740000000611,0.002768452279
207.3440094,0.09201050000001487,0.001
207.3480072,0.09600830000002247,0.001
207.352005,0.10000610000000165,0.003361214651
207.3560028,0.10400390000000925,0.001
207.3600006,0.10800170000001685,0.002772268374
207.3639984,0.11199950000002445,0.005996420514
207.3679962,0.11599730000000363,0.001
207.371994,0.11999510000001123,0.001
207.3760071,0.12400820000002,0.001818675664
207.3800049,0.12800599999999918,0.001
207.3840027,0.13200380000000678,0.00346976053
207.3880005,0.13600160000001438,0.002407621825
207.3919983,0.13999940000002198,0.001
207.3959961,0.14399720000000116,0.001
207.3999939,0.14799500000000876,0.003822534578
207.404007,0.15200810000001752,0.001
207.4080048,0.1560058999999967,0.001
207.4120026,0.1600037000000043,0.003418031614
207.4160004,0.1640015000000119,0.003136490704
207.4199982,0.1679993000000195,0.001
207.423996,0.17199709999999868,0.001
207.4279938,0.17599490000000628,0.001220825245
207.4320068,0.18000790000002098,0.004357631784
207.4360046,0.18400570000000016,0.002839261433
207.4400024,0.18800350000000776,0.001
207.4440002,0.19200130000001536,0.001
207.447998,0.19599910000002296,0.00156681519
207.4519958,0.19999690000000214,0.002557720523
207.4559937,0.2039948000000038,0.0016571288
207.4600067,0.2080078000000185,0.002115904819
207.4640045,0.21200559999999768,0.001043590135
207.4680023,0.21600340000000529,0.001
207.4720001,0.2200012000000129,0.001
207.4759979,0.2239990000000205,0.002974519739
207.4799957,0.22799679999999967,0.004344063811
207.4839935,0.23199460000000727,0.00123439345
207.4880066,0.23600770000001603,0.001
207.4920044,0.24000550000002363,0.001
207.4960022,0.2440033000000028,0.001333611202
207.5,0.2480011000000104,0.002895230427
207.5039978,0.251998900000018,0.002969431691
207.5079956,0.2559966999999972,0.001
207.5119934,0.2599945000000048,0.001
207.5160065,0.26400760000001355,0.001
207.5200043,0.26800540000002115,0.001
207.5240021,0.27200320000000033,0.001760586631
207.5279999,0.27600100000000793,0.003119954374
207.5319977,0.27999880000001554,0.0025903692
207.5359955,0.28399660000002314,0.001
207.5399933,0.2879944000000023,0.001
207.5440063,0.292007400000017,0.001585895545
207.5480042,0.2960053000000187,0.004254598171
207.552002,0.30000309999999786,0.001967926277
207.5559998,0.30400090000000546,0.001
207.5599976,0.30799870000001306,0.001
207.5639954,0.31199650000002066,0.001
207.5679932,0.31599429999999984,0.001
207.5720062,0.32000730000001454,0.001441308996
207.576004,0.32400510000002214,0.002698491095
207.5800018,0.3280029000000013,0.001943333773
207.5839996,0.3320007000000089,0.001
207.5879974,0.3359985000000165,0.001
207.5919952,0.3399963000000241,0.001
207.595993,0.3439941000000033,0.002768452279
207.6000061,0.34800720000001206,0.002002694877
207.6040039,0.35200500000001966,0.001
207.6080017,0.35600279999999884,0.001011789544
207.6119995,0.36000060000000644,0.001
207.6159973,0.36399840000001404,0.001
207.6199951,0.36799620000002164,0.001300538541
207.6239929,0.3719940000000008,0.002429246204
207.6279907,0.3759918000000084,0.002296108054
207.6320038,0.3800049000000172,0.001
207.6360016,0.38400269999999637,0.001
207.6399994,0.38800050000000397,0.001
207.6439972,0.39199830000001157,0.002172297798
207.647995,0.39599610000001917,0.003517673351
207.6519928,0.39999389999999835,0.001450637239
207.6559906,0.40399170000000595,0.001
207.6600037,0.4080048000000147,0.001
207.6640015,0.4120026000000223,0.001951389946
207.6679993,0.4160004000000015,0.00183563598
207.6719971,0.4199982000000091,0.001495157951
207.6759949,0.4239960000000167,0.001461237436
207.6799927,0.4279938000000243,0.001
207.6839905,0.4319916000000035,0.001
207.6880035,0.43600460000001817,0.001115247374
207.6920013,0.44000239999999735,0.00253228005
207.6959991,0.44400020000000495,0.001800867263
207.6999969,0.44799800000001255,0.001
207.7039948,0.4519959000000142,0.001
207.7079926,0.4559937000000218,0.001244145562
207.7119904,0.459991500000001,0.001743202331
207.7160034,0.4640045000000157,0.001310714753
207.7200012,0.4680023000000233,0.001
207.723999,0.4720001000000025,0.00119962485
207.7279968,0.4759979000000101,0.001066486468
207.7319946,0.4799957000000177,0.001
207.7359924,0.48399349999999686,0.001069030492
207.7399902,0.48799130000000446,0.00197598245
207.7440033,0.4920044000000132,0.001561727142
207.7480011,0.4960022000000208,0.001
207.7519989,0.5,0.001
207.7559967,0.5039978000000076,0.001
207.7599945,0.5079956000000152,0.001862772391
207.7639923,0.5119934000000228,0.001901357085
207.7679901,0.515991200000002,0.001
207.7720032,0.5200043000000107,0.001
207.776001,0.5240021000000183,0.001
207.7799988,0.5279998999999975,0.001670273021
207.7839966,0.5319977000000051,0.001210225048
207.7879944,0.5359955000000127,0.001147047966
207.7919922,0.5399933000000203,0.001624480239
207.79599,0.5439910999999995,0.001
207.8000031,0.5480042000000083,0.001
207.8040009,0.5520020000000159,0.001
207.8079987,0.5559998000000235,0.00211505685
207.8119965,0.5599976000000026,0.001933157677
207.8159943,0.5639954000000102,0.001
207.8199921,0.5679932000000179,0.001
207.8239899,0.571990999999997,0.001
207.8280029,0.5760040000000117,0.001
207.8320007,0.5800018000000193,0.001453181263
207.8359985,0.5839995999999985,0.001854716218
207.8399963,0.5879974000000061,0.001452757278
207.8439941,0.5919952000000137,0.001
207.8479919,0.5959930000000213,0.001
207.8519897,0.5999908000000005,0.00100373337
207.8560028,0.6040039000000093,0.002056119731
207.8600006,0.6080017000000169,0.001976830419
207.8639984,0.6119995000000245,0.001014333568
207.8679962,0.6159973000000036,0.001
207.8720093,0.6200104000000124,0.001
207.8760071,0.62400820000002,0.001257289783
207.8800049,0.6280059999999992,0.001764402725
207.8840027,0.6320038000000068,0.001764826709
207.8880157,0.6360168000000215,0.00107793475
207.8920135,0.6400146000000007,0.001
207.8960114,0.6440125000000023,0.001
207.9000092,0.6480103000000099,0.001
207.904007,0.6520081000000175,0.001695713494
207.9080048,0.6560058999999967,0.002058663871
207.9120026,0.6600037000000043,0.001186056645
207.9160156,0.664016700000019,0.001
207.9200134,0.6680144999999982,0.001
207.9240112,0.6720123000000058,0.001682993257
207.928009,0.6760101000000134,0.001696985564
207.9320068,0.680007900000021,0.001110583311
207.9360046,0.6840057000000002,0.001116095344
207.9400024,0.6880035000000078,0.001072422601
207.9440155,0.6920166000000165,0.001
207.9480133,0.6960144000000241,0.001
207.9520111,0.7000122000000033,0.001589287654
207.9560089,0.7040100000000109,0.001704193652
207.9600067,0.7080078000000185,0.001066062483
207.9640045,0.7120055999999977,0.001
207.9680023,0.7160034000000053,0.001
207.9720154,0.720016500000014,0.001186904614
207.9760132,0.7240143000000216,0.001385764102
207.980011,0.7280121000000008,0.001341667259
207.9840088,0.7320099000000084,0.001193264732
207.9880066,0.736007700000016,0.001
207.9920044,0.7400055000000236,0.001
207.9960022,0.7440033000000028,0.001
208.0000153,0.7480164000000116,0.001317074872
208.0040131,0.7520142000000192,0.001490069903
208.0080109,0.7560119999999984,0.001178000472
208.0120087,0.760009800000006,0.001
208.0160065,0.7640076000000136,0.001
208.0200043,0.7680054000000212,0.001134327729
208.0240021,0.7720032000000003,0.001515510376
208.0280151,0.776016200000015,0.001275098184
208.0320129,0.7800140000000226,0.001
208.0360107,0.7840118000000018,0.001
208.0400085,0.7880096000000094,0.00123312138
208.0440063,0.792007400000017,0.00116358418
208.0480042,0.7960053000000187,0.001046134159
208.052002,0.8000030999999979,0.001292906469
208.056015,0.8040161000000126,0.001284002326
208.0600128,0.8080139000000202,0.001
208.0640106,0.8120116999999993,0.001
208.0680084,0.8160095000000069,0.001480741776
208.0720062,0.8200073000000145,0.001505758148
208.076004,0.8240051000000221,0.001
208.0800018,0.8280029000000013,0.001
208.0840149,0.8320160000000101,0.00107539061
208.0880127,0.8360138000000177,0.001275098184
208.0920105,0.8400115999999969,0.001286122366
208.0960083,0.8440094000000045,0.001282730256
208.1000061,0.8480072000000121,0.001051646192
208.1040039,0.8520050000000197,0.001
208.1080017,0.8560027999999988,0.001
208.1120148,0.8600159000000076,0.001256017829
208.1160126,0.8640137000000152,0.001455301302
208.1200104,0.8680115000000228,0.00130477862
208.1240082,0.872009300000002,0.001
208.128006,0.8760071000000096,0.001
208.1320038,0.8800049000000172,0.001
208.1360016,0.8840026999999964,0.001371771796
208.1399994,0.888000500000004,0.001476925681
208.1440125,0.8920136000000127,0.001181816566
208.1480103,0.8960114000000203,0.001
208.1520081,0.9000091999999995,0.001
208.1560059,0.9040070000000071,0.001080478774
208.1600037,0.9080048000000147,0.001167824259
208.1640015,0.9120026000000223,0.001279762248
208.1679993,0.9160004000000015,0.001409084536
208.1720123,0.9200134000000162,0.001156376093
208.1760101,0.9240112000000238,0.001
208.1800079,0.928009000000003,0.001
208.1840057,0.9320068000000106,0.001397212269
208.1880035,0.9360046000000182,0.001546886866
208.1920013,0.9400023999999974,0.001156800077
208.1959991,0.944000200000005,0.001
208.2000122,0.9480133000000137,0.001
208.20401,0.9520111000000213,0.001
208.2080078,0.9560089000000005,0.001086838893
208.2120056,0.9600067000000081,0.001436644932
208.2160034,0.9640045000000157,0.001448093215
208.2200012,0.9680023000000233,0.001026205835
208.223999,0.9720001000000025,0.001
208.2280121,0.9760132000000112,0.001
208.2320099,0.9800110000000188,0.001200896804
208.2360077,0.984008799999998,0.001399756293
